cleaned_comment	orig_lang	speech	justification
According to Sasha’s comments, we could refer the subject of war. Mainly because this whole budget which goes to maintain military and other not necessary things could go to help immigrants. Here we would have a good starting point in providing them with assistance.	pl	[44:24]According to Sasha’s comments, we could refer the subject of war. Mainly because this whole budget which goes to maintain military and other not necessary things could go to help immigrants. Here we would have a good starting point in providing them with assistance.[44:48]	1
Excuse me, I'm not really someone who participates up front but I have a problem with terminology, which also means, well also affects the content: who is an immigrant? Could you give me a clear definition, because, for example, if someone comes from outside, he is an immigrant, but if someone comes from another country of the European Union - so he is an immigrant, but if someone comes from the European Union he is not an immigrant. But for Hungary, some populations can be immigrants, so, could you give me the notion, the definition of an immigrant?	fr	[14:48] Excusez-moi, moi je ne suis pas vraiment quelqu’un qui participe d’emblée mais j’ai un problème de terminologie, qui signifie aussi, enfin touche aussi le contenu : Qui est immigré ? Pourriez-vous me donner une définition claire, car, si par exemple quelqu’un arrive de l’extérieur, c’est un immigré mais si quelqu’un vient d’un autre pays de l’Union Européen – donc c’est un immigré mais si quelqu’un vient de l’Union Européen ce n’est pas un immigré. Mais pour la Hongrie, certaines populations peuvent être des immigrés, donc, pourriez-vous me donner la notion, la définition d’un immigré ?  [15:33]	0
We should find a solution in each country individually. Each country could put the necessary means to find a solution. I don't know how, but in any case, it should be solved, in my opinion, at the national level. Obviously, we don't all have the same immigration, so a country with a lot of immigration obviously thinks differently and must therefore provide a different solution.	fr	[04:07] Il faudrait trouver une solution dans chaque pays individuellement. Chaque pays pouvait mettre les moyens nécessaires pour trouver une solution. Alors, certes au niveau des frontières, je ne sais pas comment, mais à tout cas, ça doit être régler, à mon avis, au niveau national. On n’a pas évidemment tous la même immigration, donc un pays capable de beaucoup d’immigration, évidemment, pense différemment et doit donc apporter une solution différente. [04 :44]	2
Me I'm not against immigration at all but I think we also need to provide a life outside the borders of Europe. Allow these people to have a base outside the European Union so that they can stay at home. Because if it were the other way around, if we didn't have a future for our families in Europe, I think we would do the same thing and try to immigrate as well. So what we need to do is put clear demands on the politicians in the European Union, so tell them: give something to these people, for example in Africa so that they stay there, try to bring up the economy there and so on, build businesses .	fr	[32:22] Moi je ne suis pas du tout contre l’immigration mais je pense que nous devons également assurer une vie en dehors des frontières de l’Europe. Permettre à ces gens qu’ils aient une base de vie en dehors de l’Union Européenne afin qu’ils puissent rester chez eux. Car si c’était le cas contraire, si nous n’avions pas d’avenir pour nos familles en Europe, je crois que nous ferons la même chose et nous essayerons d’immigrer également. Donc ce qu’il faut faire c’est soumettre des exigences claires et nettes aux responsables politiques de l’Union Européenne, donc leurs dire : Donnez quelque chose à ces gens, par exemple en Afrique afin qu’ils restent là, essayez de faire remonter l’économie là-bas et cetera, construire des entreprises [33:30]	2
I would like to go back to the issue raised by Frans. He said that there is a part of the group which is extreme and wants to foist something on us. In my opinion, Holland has a problem with the legal system as it is not strict – weak, I would say. So one should consider what to do in order to improve this system and make it more efficient. If there were some sanctions, or punishments for these or other actions. When that murder was committed, I think everyone knows it was in Holland, everyone could see that the legal system was not able to impose an appropriate punishment for the guilty. So a jurisdiction should be developed, to be more strict. And I also believe that those fanatics should feel that sanctions could be imposed on them.	pl	[19:40] I would like to go back to the issue raised by Frans. He said that there is a part of the group which is extreme and wants to foist something on us. In my opinion, Holland has a problem with the legal system as it is not strict – weak, I would say. So one should consider what to do in order to improve this system and make it more efficient. If there were some sanctions, or punishments for these or other actions. When that murder was committed, I think everyone knows it was in Holland, everyone could see that the legal system was not able to impose an appropriate punishment for the guilty. So a jurisdiction should be developed, to be more strict. And I also believe that those fanatics should feel that sanctions could be imposed on them.  [20:43]	1
I just wanted to say that language is a very important factor in integration. One of the most important. And I also think that it's a matter of give and take. That the immigrants don't just have to be willing from let's say [again] also to learn the language and secondly to integrate and not just always make demands that the state, whether it's Germany or Spain, pay for them.	de	[53:25] ich wollte nur sagen, dass Sprache ein sehr wichtiger Faktor ist in der Integration. Mit der wichtigste. Und ich denke auch, dass es eine Sache von Geben und Nehmen ist. Dass die Immigranten nicht einfach von sagen wir mal, [wied.] auch bereit sein müssen, die Sprache zu lernen und zweitens sich zu integrieren und nicht nur immer Forderungen stellen, dass der Staat, egal ob’s Deutschland oder Spanien ist, für sie aufkommt. [54:13]	1
As far as I know, the crooked banana and the cucumber have been solved Europe-wide. Maybe the other one will become Europe-wide as well. The curvature of the banana...	de	[48:29] Soweit ich weiss, hat man ja die krumme Banane und die Gurke auch europaweit hingekriegt. Vielleicht wird das andere auch mal europaweit. Die Krümmung der Banane… [48:40]	1
The question is, in which time all this can be thought about, can be implemented, if there is a shortage of skilled workers. Normally, the positions have to be filled as quickly as possible, and this whole process - I think - will take far too long, if this is also determined at the EU level for the countries as a whole.	de	[06:30] Die Frage stellt sich doch, in welcher Zeit das alles angedacht werden kann, umgesetzt werden kann, wenn ein Fachkräftemangel da ist. Normalerweise müssen doch dann die Stellen so schnell wie möglich besetzt werden und dieser ganze Vorlauf – denke ich – wird viel zu lange dauern, wenn das auch noch auf EU-Ebene dann erst einmal für die Länder insgesamt dann eruiert wird. [06:54]	1
So, my colleague referred to something that I agree with. And I would like to elaborate on this. Of course, I am not saying that the European lifestyle is not good. Yes, it is good, we have to defend it. Different cultures don't scare me. Not at all, I like different cultures. I think that in Portugal we don't have problems of cultural differences so striking that we can't live together, no. We have always been an open people. We have always been an open people. We have been to Africa, India, South America, and so on. I myself was a consul in one of the Portuguese colonies in Africa, well, I was only eight months old when I went to mainland Portugal at the time . But I'm not going to go into detail now about these colonies. But what I want to tell you is the following: I saw a report in Spain, about two or three weeks ago, and the Spanish, you know, are living a deep crisis. Well, the world crisis, but in the developed countries. But in Spain, yes, in Europe, in Spain it is one of the hardest hit countries of all the other countries, well, not among the other countries, no. And Spanish people with all this unemployment... Spain in general and traditionally has a very high unemployment rate. And now very, very high. Higher than in other countries, exponentially so. And so, since they can't find work in their profession, let's say. They have their qualifications, they had jobs that they were not interested in. And those jobs that the Spanish didn't want were filled by immigrants.   and the Spanish authorities, despite all the show, the heat, in relation to immigration, have always accepted this immigration. And what I want to tell you is that despite the fact that the Spanish, even the Spanish citizens did not want, some time ago, before the great crisis, did not want certain jobs, certain jobs because they found it denigrating. Now they accept, they even look for jobs in the fields, in the vineyards, hard jobs where we earn our living, which were occupied by immigrants, by Africans, especially Moroccans. What is Spain going to do now with these people, these immigrants, these Moroccans, these sub-Saharan Africans who work in the fields when the Spanish didn't want to work? Are we going to send them home?   Well, we can talk here about a (...) of the world carrassions, of the universal human right, but what Jorge was saying here, we only talk about people based on numbers, on percentages: We have to be very careful with what we do. We cannot start from the end, we must start from the beginning. In Europe, some aspects of things are solved at the end. And at the end, it is too late. The great wars that existed in Europe after the second world war, it was the Americans who came? To fight them. So, Europe, this is to say, that Europe must speak with one voice. [1 :	fr	[1 :41 :34] Alors, mon collègue, il a ici fait référence à quelque chose avec laquelle je suis d’accord. Et j’aimerais encore approfondir. Evidemment, je ne suis pas en train de dire que le style de vie européen n’est pas bon. Si, il est bon, nous devons le défendre. Les cultures différentes ne m’effrayent pas. Pas du tout, j’aime les cultures différentes. Je pense qu’au Portugal on n’a pas des problèmes de différences de cultures tellement frappant qu’on ne puisse pas vivre ensemble, non. Nous avons toujours été un peuple ouvert. Nous avons été en Afrique, en Inde, en Amérique du sud, enfin. Moi-même, j’étais consul dans une des colonies portugaises en Afrique, enfin, je n’avais que huit mois quand je suis allé au Portugal continental a l’époque[ ?]. Mais je ne vais pas entrer dans le détail, maintenant à propos de ces colonies. Mais ce que je veux vous dire c’est le suivant : j’ai vu un reportage en Espagne, il y a un peu près de deux ou trois semaines, et les espagnoles, vous savez, vivent une crise profonde. Bon, la crise mondial, mais dans les pays développés. Mais en Espagne, si, en Europe, en Espagne c’est un des pays les plus frappés de tous les autres pays, enfin, pas parmi les autres pays, non. Et les espagnoles avec tout ce chômage… l’Espagne en générale et traditionnellement a un taux de chômage très élevé. Et maintenant très, très élevé. Plus élevé que dans les autres pays, de façon exponentielle. Et donc, puisqu’ils ne trouvent pas du travail dans leur métier, disons. Ils ont leur qualification, ils avaient des boulots qu’ils n’intéressaient pas. Et ces emplois que les espagnols ne voulaient pas étaient occupés par des immigrées. [1 :43 :59] [1 :44 :09] et les autorités espagnoles malgré tout le spectacle, le chauffent, par rapport à l’immigration, ont toujours acceptées cette immigration. Et ce que je veux vous dire, c’est que malgré le fait que les espagnols, même les citoyens espagnoles ne voulait pas, il y a quelque temps encore, avant la grande crise, ne voulait pas certains boulots, certains emplois parce que ils trouvaient ça dénigrant. Maintenant ils acceptent, ils vont même chercher les emplois dans les champs, dans les vignobles, des emplois durs ou on gagne notre vie, qui étaient occupés par les immigrées, par des africains, notamment des marocains. Qui fait-on maintenant, que va faire maintenant l’Espagne avec ces gens, ces immigrées, ces marocains, ces africains de sub-saharien qui travaillent dans les champs quand les espagnoles ne voulaient pas travailler ? On va les envoyer chez eux ? [1 :45 :11] [1 :45 :13] Bon, on peut bien parler ici d’un (…) du carrassions mondial, de l’universel droit de l’homme, mais ce que disait ici Jorge, on ne parle des gens que sur base de chiffres, des pourcentages : Nous devons êtres très attentives à ce que nous faisons. On ne peut pas partir par la fin, on doit commencer par le début. En Europe, certains aspects des choses, sont résolu à la fin. Et à la fin, c’est trop tard. Les grandes guerres qui ont existées en Europe après la deuxième guerre mondiale, ce sont les Américains qui sont venues[ ?]. Les combattre. Donc, l’Europe, ça pour dire, que l’Europe doit parler avec une seule voix. [1 :46 :04]	1
I think that the countries that are affected, are in the peripheral areas of the European Union and to which also most immigrate, illegally or legally, that one should help the countries and vice versa one should then have the same conditions for all countries and then also distribute the burdens accordingly and produce guidelines, for all. Because the EU countries that are in the middle, they are a bit luckier than those on the outside, but they have to, should keep out those from third countries. And that is then too much for the countries, alone too much.	de	[37:10] Ich bin der Meinung, dass die Länder, die betroffen sind, in den Randgebieten der europäischen Union sind und zu denen auch die meisten einwandern, illegal oder legal, dass man den Ländern helfen sollte und umgekehrt müsste man dann für alle Länder die gleichen Bedingungen haben und die Lasten dann auch dementsprechend verteilen und Richtlinien herstellen, für alle. Denn die EU-Länder die in der Mitte sind, die haben etwas mehr Glück wie die aussen, die müssen die aber, sollten die abhalten, die aus Drittländern. Und das ist dann für die Länder zu viel, alleine zu viel. [37:55]	2
I often have a very different thought at the moment: we do agree that living illegally in a foreign country is not pleasant either, and what I know from reports, from those who live illegally in Germany, that's not nice. These are wages of three euros, the constant fear of being caught by the police somewhere and being deported. The other problem that I know from reports is that someone is here illegally and quite subjectively determines that he actually leads a terrible life here, but is not in a position to somehow communicate this to his family in his home country, because the pressure of expectation on him is incredibly high, that he must please also present to this family, Germany is paradise. I have no idea how one could do that, but for me the starting point would be actually also once again at this point, so to speak the illusion, somewhere in the countries from which the people flee, that we are the country where milk and honey flow, which actually rather take out, because I believe - so I always come back to it, the real cause or the problems are actually to be solved where the people flee.	de	[28:27] Ich habe im Moment oft einen ganz anderen Gedanken: Wir sind ja uns einig, dass illegal leben in einem fremden Land auch nicht angenehm ist, und das was ich aus Berichten kenne, von denen, die in Deutschland illegal leben, das ist nicht schön. Das sind Löhne von drei Euro, das ist ständige Angst vor der Polizei irgendwo erwischt zu werden und abgeschoben zu werden. Das andere Problem, was ich aus Berichten kenne, ist, dass jemand illegal hier ist und durchaus subjektiv feststellt, er führt hier eigentlich ein fürchterliches Leben, aber nicht in der Lage ist, das seiner Familie in seinem Heimatland irgendwie mitzuteilen, weil der Erwartungsdruck an ihn unheimlich hoch ist, das er dieser Familie bitte auch präsentieren muss, Deutschland ist das Paradies. Ich habe keine Idee, wie man das machen könnte, aber für mich wäre der Ansatzpunkt eigentlich auch noch einmal an dieser Stelle, sozusagen die Illusion, irgendwo in den Ländern, aus denen die Leute fliehen, das wir das Land sind wo Milch und Honig fliessen, die eigentlich eher rauszunehmen, weil ich glaube – also ich komme immer wieder dahin, die eigentliche Ursache oder die Probleme sind eigentlich da zu lösen, wo die Leute fliehen. [29:43]	2
I have a very clear opinion. They should be treated in the same way. If there were more legal means of immigration, we would not have the problem of illegal immigration. It is only that when we say outside the European fortress, we accept that trained, highly qualified people, and the others remain outside. So we create the problem of illegal immigration. Otherwise, if there were regularized immigration procedures, we would not have the problem of illegal immigration.	fr	[51 :15] Moi, j’ai une opinion très claire. Il faut les traiter de la même manière. S’il y avait des moyens plus légaux d’immigration, on n’aurait pas le problème d’immigration illégale. Ce n’est que, lorsqu’on dit en dehors de la forteresse européenne, on accepte que des personnes formés, hautement qualifiés, et les autres restent dehors. Alors nous créons le problème de l’immigration illégale. Sinon, s’il y avait des procédures d’immigration régularisées, on n’aurait pas le problème de l’immigration illégale. [51 :49]	2
In my opinion, illegal immigration does not concern Poland in such an extent, because for immigrants, countries of Western Europe are more attractive than those of Central and Eastern Europe. That is why I think, that the issue of illegal immigration should be discussed mostly by citizens of Western Europe.	pl	[06:11] In my opinion, illegal immigration does not concern Poland in such an extent, because for immigrants, countries of Western Europe are more attractive than those of Central and Eastern Europe. That is why I think, that the issue of illegal immigration should be discussed mostly by citizens of Western Europe.[06:37]	2
Barbara, if I'm not mistaken, had just spoken about black-skinned immigrants from Africa, who also have to adapt to the conditions in Poland, and there are also non-profit associations for this purpose, which are committed to this and which are helpful in integrating or adapting to Poland.	de	[44:10] Barbara, wenn ich mich nicht täusche, hatte eben von Schwarzhäutigen Einwanderern also aus Afrika gesprochen, die sich also auch den Gegebenheiten in Polen anpassen müssten und es gibt zu diesem Zweck ja auch gemeinnützige Vereinigungen, die sich dafür einsetzen und die behilflich sind bei der Eingliederung oder Anpassung an Polen. [44:38]	0
Yes, I just wanted to say that in France, the problem of immigration, the refusal of immigrants, is often linked to a political coloration, which is practically the extreme right. This is a bit of a context, and obviously, it bothers a lot those who think that the extreme right leads to things that are completely harmful, that are generally anti-European and anti-immigration. Well, that's to close the parenthesis. I would simply like to say that of course, I am completely - I think that it is impossible to avoid legal immigration in Europe. So, a certain amount of legal immigration, I say legal, that is to say that it is planned, calculated, but simply, my personal concern is that this legal immigration, in my opinion, must be compensated by means that must be given to the country of departure of these immigrants, because it will always continue if we steal their brains from the poor country. So soon, my colleague [GE] just now talked about the Togolese doctors who were extremely numerous in the Paris region, right? And soon, in Togo, there were French doctors. It is beginning to letter? and since there are many many French doctors who are going to practice in Togo in the framework of humanitarian missions, with humanitarian associations. So, we have here something that is not going very well. Shouldn't we, I don't know, in the bilateral agreements, see if we can't facilitate the return of Togolese doctors to Togo, so that they participate in the greatness and development of their country rather than [keeping] Togolese brains in France? So I know, of course, when you take immigrants in a poor country, it makes an economy for the country that receives it. That's for sure, when we receive someone who has an education and when we have not paid for his training, it makes an economy to (...) for the country that receives him. So all this, I think that immigration must be calculated and we must know what we take from the poor country to start it. I believe that we need legal immigration but within the framework, of agreement, either of Europe with the countries of the third world, or of bilateral agreements from country to country.	fr	[03:28] Oui, moi je voulais dire simplement, bon, en France, le problème de l’immigration, du refus des immigrés, est souvent liée à une coloration politique, qui est pratiquement l’extrême droite. C’est un peu le contexte et évidemment, ça gène beaucoup tout ce qui pensent que l’extrême droite conduit à des choses qui sont tout à fait néfaste, qui sont en général anti-européen et anti-immigration. Bon, ça c’est pour fermer la parenthèse. Simplement, moi je voudrais dire que bien sur, je suis tout à fait – je pense que c’est impossible d’éviter en Europe une immigration légale. Donc, une certaine quantité d’immigration légale, je dis bien légale, c'est-à-dire qui soit prévue, calculée, mais simplement, mon souci personnel, c’est que cette immigration légale, à mon avis, elle doit être compenser par des moyens qui doivent être donner au pays de départ de ces immigrés, parce que ça continuera toujours si on pique au pays pauvre leur cerveaux. Alors bientôt bon, mon collègue[GE] tout à l’heure à parler des médecins togolais qui étaient extrêmement nombreux dans la région Parisienne, c’est ça ? Et bientôt, au Togo, s’avait des médecins français. Ça commence d’ailleurs à lettre[ ?] et puisque il y a beaucoup beaucoup beaucoup de médecins français qui se vont exercer au Togo dans le cadre des missions humanitaires, avec les associations humanitaires. Alors, on a là quelque chose qui ne va pas très bien. Est-ce qu’il ne faudrait pas,  je ne sais pas, dans les accords bilatéraux voir si on ne peut pas faciliter le retour des médecins togolais au Togo, pour qu’ils participent à la grandeur et au développement de leur pays plutôt que de [garder] les cerveaux togolais en France ? Alors je sais bien, c’est sur, quand on prend des immigrés dans un pays pauvre, ça fait une économie pour le pays qui le reçoit. Ça c’est certain, quand on reçoit quelqu’un qui a une formation et quand on n’a pas payé sa formation, ça fait une économie à (…) pour le pays qui le reçoit. Alors tout ça, je crois que l’immigration, elle doit être calculé et on doit savoir ce qu’on prend du pays pauvre pour le commencer. Moi je crois qu’il faut une immigration légale mais dans le cadre, d’accord, soit de l’Europe avec les pays des tiers monde, soit des accords bilatéraux de pays à pays. [06 :31]	3
Yes, a problem, or an observation of mine in Germany. In our country, in the political discussion, it is never mentioned and openly mentioned how relatively more often foreigners are susceptible to punishment. That is not politically correct. If figures are now published in our country, they are not politically desirable. This is in line with political correctness. In this respect, it is very difficult to have a discussion, because many things are suppressed in our country, also from the point of view of knowledge.	de	[29:49] ja, ein Problem, oder eine Beobachtung von mir in Deutschland. Bei uns wird in der politischen Diskussion nie genannt und offen genannt, wie relativ häufiger die Strafanfälligkeit der Ausländer ist. Das ist politisch nicht korrekt. Wenn jetzt mal Zahlen veröffentlicht werden bei uns, die sind dann politisch nicht gewollt. Das entspricht der Political Correctness. Insofern ist das sehr schwierig, eine Diskussion zu führen, weil viele Dinge bei uns auch von der Erkenntnis her unterdrückt werden. [30:27]	2
We can compare this situation to how the black people were treated a long time ago. How the people were taking advantage of them. It was also profitable for some people but in some extent. We can not trade with people. They work just like we do and want to live just like we want.	pl	[1:28:53] We can compare this situation to how the black people were treated a long time ago. How the people were taking advantage of them. It was also profitable for some people but in some extent. We can not trade with people. They work just like we do and want to live just like we want.[1:29:04]	2
I can speak, I'm the son of immigrants. My father was Polish, he came to France in 1930 but he came to work, to integrate, he was naturalized right away, he respected our culture and everything and that's what I can say. We come to France to work and not to take advantage of social laws, that's all.	fr	[19:34] Je peux parler, je suis fils d’immigrés. Mon père était Polonais, il arrivait en France en 1930 mais il est venu pour travailler, pour s’intégrer, il se naturalisait aussitôt, il a respecté notre culture et tout et c’est ce que je peux dire. On vient en France pour travailler et pas pour profiter des lois sociales, c’est tout. [19:53]	1
I don't know if I'm going to answer this question, because of course I'm all for helping these people to stay at home, because for them it's certainly not a pleasure to come here. I don't know if we would be able to do it already. I don't know if we would be able to do it. It's a question of courage, too. I preferred that we try to do everything we could to help them on the spot. But now we have to ask ourselves how to help them. For example, I don't know why, but I want to focus on Africa because it is a continent that suffers the most. Which was exploited by, besides, maybe not by me, who is Polish, you, you are all former countries in worse colonization - Dutch, Belgian and the French. At the moment, excuse me, but I'm starting to get a little confused, it [end of the magician] but I'm trying to calm down, finally you are undergoing something in fact, that you have made undergo, or certain people during the 17th, 18th, 19th, 20th century. You must not forget that. Now, it is a big problem for you, because there are immigrants. They have a different culture, they are Muslims or not, but we must not forget that for example the Dutch in Indonesia when they led the colonial war against the people who were trying to liberate themselves, they did not have the moral and everything that follows. We must not forget that. What we have now is a lot of rotos from third world countries. And now here we are, so that we can help them, not only by sending funds or sending food perhaps, first we must review our political ties. With countries down there that have certain regimes in place in Africa, maybe we should start with that. Because we don't talk about CAB anymore, we support the political regimes in place. That's it.	fr	[40 :51] Je ne sais pas si je vais répondre a cette question finalement parce que bien sur, je suis tout a fait pour qu’on aide ces gens, justement rester chez eux, parce que certainement pour eux, ce n’est pas un plaisir de venir par exemple venir ici. Surtout pour un Africain, de venir par exemple dans l’Europe du nord où il y a de la neige et tout ça Je ne sais pas si nous on serait capable de le faire déjà. Voilà. C’est une question de courage, aussi. Je préférais effectivement qu’on essaye de tout faire pour qu’on puisse leur aider sur place. Mais maintenant il faut se poser la question sur la manière de leur aider. Aider par exemple, je ne sais pas pourquoi mais je veux me fixer sur l’Afrique parce que finalement c’est un continent qui souffre le plus. Qui était exploité par d’ailleurs peut-être pas par moi, qui est polonais, vous, vous êtes tous des pays anciens en pire colonisons - hollandais, belge et les français. Actuellement, excusez-moi mais là, je commence peut-être un peu à brouiller, ça [bout au mage] mais j’essaye de me calmer, finalement vous subissez quelque chose en fait, que vous avez fait subir, ou certaine peuple durant 17ème, 18ème, 19ème, 20ème siècle. Ça, il ne faut pas oublier. Maintenant, effectivement ça pose pour vous un grand problème, parce qu’il y a des immigrés. Ils ont une différente culture, ce sont des musulmans ou pas, mais il ne faut pas oublier que par exemple les hollandais en Indonésie quand ils menaient la guerre colonial contre le peuple qui essayait de se libérer, il n’y avait pas la moral et tout ce qui suit. Il ne faut pas oublier ça. Ce que maintenant actuellement c'est un sort de rotos de bateau de pais de tiers monde. Et maintenant voila, pour qu’on puisse leur aider, ce n’est pas seulement en envoyant des fonds ou en envoyant la nourriture peut-être, d’abord il faut de revoir nos liens politiques. Avec Pays en Bas qui ont des certains régimes qui sont place en Afrique, peut-être il faudrait commencer justement par ça. Parce qu’on plus parle de CAB, justement soutien les régimes politiques en place. Voila. [43 :18]	3
It's not because they're physically different but because they occupy a lot of territory and they take a lot of share in our economy - that Hungarians could actually make and fill. And in fact we can't compete with their low prices here. They come in and they invade - of course if I'm a mother and I don't have enough money I'll buy Chinese things but that said, they destroy our economy, so there you go, it's something where you have to see both sides of the coin. I don't mind that they are Chinese; what bothers me is that in a country we have arrived at a situation where most of the population is going to buy the cheap Chinese products.	fr	[20:28] Ce n’est pas parce qu’ils sont différents physiquement mais parce qu’ils occupent beaucoup de territoire et ils prennent beaucoup de parts dans notre économie – que les Hongrois pourraient en faite faire et remplir. Et en fait nous on ne peut pas concurrencer leurs prix ici bas. Ils arrivent ils envahissent – bien-sûr si je suis une mère et je n’ai pas assez d’argent je vais acheter des choses Chinoises mais ceci dit, ils détruisent notre économie, donc voilà, c’est quelque chose ou il faut voir les deux faces de la médaille. Moi, ça ne me dérange pas qu’ils soient Chinois; ce qui me dérange c’est que dans un pays on est arrivé à une situation, ou la plupart de la population et qu’en train d’aller acheter les bon-marchés, les produits bon-marchés Chinoises, voilà. [21:19]	3
So I had read that in the brochure that the main illegal immigrants that we have, that the - they are illegal because their visas have expired and they were legal before. And that's actually the point in here; how to, with what possibilities, how to legalize them. That's what it was about. But I'm still looking it out.	de	[42:43] Also ich hatte das in der Broschüre so gelesen, dass die hauptsächlichen illegalen Einwanderer, die wir haben, dass das – die sind deshalb illegal, weil ihre Visa abgelaufen sind und die waren vorher legal. Und um den Punkt geht es eigentlich hier drin; wie man die, mit welchen Möglichkeiten, wie man die legalisieren kann. Da drum ging es. Ich suche es aber noch raus. [42:12]	0
"I just wanted to say, because you just said on which page it is - it is page seven and it is called ""Authoritative Facts""."	de	[50:56] Ich wollte nur sagen weil du eben gesagt hast auf welcher Seite das steht – das ist Seite sieben und das heisst ‚Massgebliche Fakten‘. [51:02]	0
It's not really about us telling them what to do with the money, it's about having a record of what happens with it. Because a large part of this money disappears into pockets of which the people have nothing. That can't be the case. We give something and of course we want to know what happens with it. We don't want to sponsor some potentates and so the people remain poor again and we have imported poverty again.	de	[49:55] Es geht ja eigentlich nicht darum, dass wir ihnen sagen, was sie mit dem Geld zu machen haben, sondern, dass man einen Nachweis hat, was passiert damit. Weil ein Grossteil dieser Gelder in irgendwelchen Taschen verschwindet, von denen das Volk nichts hat. Das kann’s ja auch nicht sein. Wir geben etwas hin und wollen natürlich wissen, was passiert damit. Wir wollen nicht irgendwelche Potentaten sponsern und damit bleibt das Volk erst wieder arm und wir haben die Armut wieder importiert. [50:25]	3
In fact what is an illegal immigrant because for me there are as many immigrants, as many different situations as the individual and that's why between the three options that are proposed, like a selective regularization would be more interesting with defined criteria. I'll take a simple example: In France, someone who comes to work in France legally is given a residence permit, that's it for ten years, during these ten years he builds a job, he builds a family, he has children who are French, because he was born in France and at the end of the ten years, for [... ...] because the rules have sometimes changed during these ten years, they find themselves with an expired residence permit and he finds himself completely illegal and clandestine. What do we do with these people? Should we throw them out? I don't think so. So that's what's difficult, to find a solution that will solve the problem for everyone. And here is also something I wanted to add: we have the case of illegal work, especially people who exploit and mistreat men and women, who exploit these workers, who make money and I think that our states, our governments must focus on - I don't know - tracking down these people for these employers who are dangerous. And in this case, often these are jobs that are refused by people who are legal, so again, here's an opportunity for selective regularization.	fr	[31:48] En fait qu’est que c’est un immigré illégal parce que pour moi il y a autant d’immigrés, autant de situations différentes que l’individu et c’est pour ça entre des trois options qui sont proposées, comme une régularisation sélective serait plus intéressante avec des critères définis.  Je prends un exemple tout simple : En France, quelqu’un qui vient travailler en France légalement se voit attribué à une carte de séjours, voilà pendent dix ans, pendant ces dix ans il construit un métier, il construit une famille, il a des enfants qui sont français, parce que né en France et au bout des dix ans, pour [… … …] parce que les règles ont parfois changé pendant ces dix années, ils se retrouve avec une carte de séjour expirée et lui il se retrouve complètement illégal et clandestin. Que faire avec ces gens-là ? Est-ce qu’on doit les jeter dehors ? Je ne pense pas. Donc c’est ça qui est difficile, de trouver une solution qui règlera le problème pour tout le monde. Et voilà, aussi quelque chose que je voulais ajouter : C’est qu’on a le cas de travail au noir, notamment des gens qui exploitent largement et maltraite les hommes et des femmes, qui exploitent ces travailleurs, qui se font de l’argent déçu et je pense que nos états, nos gouvernements doivent mettre l’accent pour – je ne sais pas – traquer ces gens pour ces employeurs qui eux sont dangereux. Et dans ce cas-là, souvent ce sont des métiers qui sont refusés par les gens qui sont en situation régulière, donc voilà encore une fois, une possibilité de régularisation sélective. [33:41]	3
Possibly also the same wages. I believe, without doubt, that it would suit our Polish friends, precisely, the same wages. The Dutch would rather lose in this solution. Well good, but I have a feeling, that if we would go this way, in the direction of that possible solution, there are certain traps how to get around this. If we have had the same language for example, the problems would be solved. However, we are all aware that it is not that simple. It definitely will not function.	pl	[44:29] Possibly also the same wages. [44:31]  [44:56]I believe, without doubt, that it would suit our Polish friends, precisely, the same wages. The Dutch would rather lose in this solution. Well good, but I have a feeling, that if we would go this way, in the direction of that possible solution, there are certain traps how to get around this. If we have had the same language for example, the problems would be solved. However, we are all aware that it is not that simple. It definitely will not function. [45:36]	1
I would like to remind you that I myself am a product of that time. In Germany, there was already a time when millions of non-Germans - not all of them were Germans, but they were officially Germans - were forced to leave their homeland. The community, in which I grew up, grew by 70 percent from one day to the next. With a little bit of good will, immigration today as then is possible, but you have to want it.	fr	[46 :45] Je voudrais rappeler que moi-même, je suis un produit de cette époque. En Allemagne, il y avait déjà eu une époque ou il y avait une expatriation forcée de millions de non-allemands – ce n’étaient pas tous des allemands, c’étaient officiellement des allemands, bon –  mes parents aussi, ont du quitter leur patrie. La commune, dans laquelle j’ai grandi, d’un jour à l’autre, a grandi de 70 pourcent. Avec un peu de bonne volonté, l’immigration aujourd’hui comme à l’époque est tout-à-fait possible, mais il faut le vouloir. [47 :23]	1
