cleaned_comment	orig_lang	speech	interactivity	respect	storytelling	justification	cGood
"I would like to react to what Marleen said. It's true that there is the political dimension that we have been talking about up to now. And then there is the human dimension, because we all know people of immigrant background, we can have professional relationships, we can have friends. So there is always a look that makes a difference in the way we look at things. And then in France, for example, what is quite the non-plus-ultra for families [...] is to have a kid who studied in the United States or England and who started working in the United States. And strangely enough that person doesn't have that look of immigration, of their children in another country. If you tell them that their children are immigrants, they will say... ""no, they're not"". It's always difficult to reason in relation to a close environment. And then to reason in a more global way or there the things we can have complete contradictions in relation to what if lives in the daily life. I find that this is what is difficult in these questions of immigration and the policies that are implemented. [1 :"	fr	[1 :08 :33] Je voudrais réagir à ce que disait Marleen. C’est vrai qu’il y à la dimension politique on a évoque jusqu’à présent. Et puis il y a la dimension humaine, parce qu’on connait tous des relations de gens de l’immigration, on peut avoir des relations professionnels, on peut avoir des copains. Donc il y a toujours un regard qui fait une différence dans la place comme on regarde les choses. Et puis en France par exemple ce qui est assez le non-plus-ultra des familles […] c'est d’avoir un gamin qui a fait ses études en Etats-Unis ou Angleterre et qui a commencé à travailler aux Etats-Unis. Et curieusement cette personne-là n’ont pas ce regard d’immigration, de leurs enfants dans un autre pays. Si on leurs dit, leurs enfants sont des immigrés, on va… « non, pas du tout ». C'est toujours difficile de raisonner de faire place par rapport à un environnement proche. Et puis raisonner d’une façon plus globale ou là-bas les choses on peut avoir des contradictions complètes par rapport à ce que si vit au quotidien. Je trouve que c'est ça qui est difficile dans ces questions d’immigration et des politiques qui sont mis en œuvre. [1 :09 :52]	3	1.0	0.0	2	0
I wanted to say that when we talked about unemployment earlier, it is now also being investigated in Spain, for example, what happens to Romanians who have become unemployed in Spain and receive unemployment benefits, that they are not at all willing to return to Romania, Mr. [Rolf] on the other side of the table is right. We can't always start from our own personal experiences, we have to look at this problem from the point of view of society as a whole. We talk about economic aspects and integration, but it's also about security. That is a big problem. There are organized gangs of immigrants, I don't know if they are legal or illegal immigrants, but there is also a big problem with crime, with security. I don't know how to solve that. They have a right to work, of course; if there is work.	de	[01:04:26] Ich wollte dazu sagen, also als wir vorhin über Arbeitslosigkeit sprachen, es wird ja jetzt in Spanien auch untersucht, also was zum Beispiel mit Rumänen geschieht, die eben in Spanien arbeitslos geworden sind und Arbeitslosengeld beziehen, dass sie eben gar nicht bereit sind, nach Rumänien zurückzukehren, da hat der Herr[Rolf] auf der anderen Seite des Tisches schon Recht. Wir können da auch nicht immer abheben und ausgehen von unseren persönlichen Erfahrungen, wir müssen das schon gesamtgesellschaftlich betrachten dieses Problem. Wir sprechen über wirtschaftliche Aspekte und Integration, aber es geht auch um das Thema Sicherheit. Das ist ein grosses Problem. Es gibt  organisierte Banden von Einwanderern, ich weiss nicht, ob es sich dabei um legale oder illegale Einwanderer handelt, aber es gibt da eben auch ein grosses Problem mit Kriminalität, mit Sicherheit. Ich weiss nicht, wie man das lösen kann. Die haben natürlich ein Recht auf Arbeit, natürlich; wenn es Arbeit gibt. [01:05:44]	3	0.0	1.0	1	0
I think that we have an interesting variable here, but first of all I would like to respond to that. I think that, in the end, we should not abandon the meaning to anyone, whether French or Spanish, we are all here to give another opinion and pose a problem. Immigration is obviously an enrichment of cultures, but obviously within certain limits. Today in Spain, this is not the case. There is a lot of immigration. So you ask why they come if you are not able to give them work or food? So I don't know how you do it in France, maybe the immigration in France, look at the Spanish, the Italians, of course at the time, we left in the host countries with a work contract. So there you go, you sign a contract and if you don't you can go back home. So you had to adapt directly and pass a very strict medical examination [?]; if you were not in good health, you were not admitted. So I understand my colleague [GL], but that doesn't mean that you are against immigration, that you don't consider immigration to be an enrichment. But now, if immigrants should adapt, without forgetting obviously their culture, but it is necessary that by the working hours, at school, etc., they should adapt to the rules of the country, maybe with the exception of Saturday and Sunday. So I'm not asking to erase their culture, but they have to adapt to the rules, as we all do, and obviously everyone has to pay their taxes like everyone else. And the words that you [JP] introduced, I think it's true that these are the best ones that come up in the end and it's a bit of a shame, something should be done. I don't know what, but it is true that they impoverish their country of origin in this way. That's all.	fr	[09 :34] Moi je crois qu’ici on a une variable intéressante mais tout d’abord j’aimerais répondre à cela. Je crois que, finalement, on ne doit pas abandonner le sens à personne, comme soit français ou espagnols, on est tous ici pour donner une autre opinion et poser une problématique.  L’immigration évidemment est un enrichissement  des cultures mais évidemment, dans des certaines limites. Aujourd’hui en Espagne, ce n’est pas le cas. Il y a beaucoup d’immigration. Alors vous demandez pourquoi sont-ils venus si vous n’êtes pas être en mesure de leurs donner du travail ou à manger ? Alors je ne sais pas comment vous faites en France, peut-être que l’immigration en France, voyez les espagnols, les italiens, bien sur à l’époque, on partait dans les pays d’accueil avec un contrat travail. Donc voilà, vous signez un contrat et si non vous pouviez retournez chez vous.  Donc il fallait s’adapter directement et passer un examen médical très pointu[ ?] ; si vous n’étiez pas en bonne condition de santé, vous n’étiez pas admit. Donc je comprend ma collègue[ GL], mais ça ne veut pas dire que vous êtes contre l’immigration, que vous ne considériez pas l’immigration comme étant un enrichissement. Mais maintenant, s’il faudrait que les immigrés s’adaptent, sans oublier évidemment leur culture, mais il faut que par les horaires de travail, à l’école, etc., il faut s’adapter aux règles du pays, peut-être à l’exception de samedi et dimanche. Alors je ne demande pas d’effacer leur culture mais il faut qu’ils s’adaptent aux règles, comme nous tous nous le faisons et il faut qu’évidemment tout le monde paye ses impôts comme tout le monde. Et les mots que vous[JP] avez introduits, je crois qu’il est vrai que se sont les meilleures qui viennent finalement et c’est un peu dommage, il faudrait faire quelque chose. Je ne sais pas quoi, mais il est vrai qu’ils appauvrissent ainsi leur pays d’origine. Voilà c’est tout. [11 :50]	3		0.0	1	1
So, I said that in our country, with us in Cyprus, that the migrants, the foreigners are trying to improve life. They come to us to work, to improve the level of their life.	de	[06:14] Also, ich sagte, dass in unserem Land, bei uns auf Zypern, dass die Migranten, die Ausländer versuchen, das Leben zu verbessern. Sie kommen zu uns, um zu arbeiten, um das Niveau ihres Lebens zu verbessern. [06:31]	0	1.0	0.0	1	1
As it comes to selective immigration, I think that the decision cannot be made by some kind of businesses’ organization. Some government could decide on it in a democratic way and this authority could make a decision about the selective immigration and the criteria of selection.	pl	[54:02] As it comes to selective immigration, I think that the decision cannot be made by some kind of businesses’ organization. Some government could decide on it in a democratic way and this authority could make a decision about the selective immigration and the criteria of selection.[54:45]	0	1.0	0.0	0	0
I would like to say, Portuguese - I am French. In France, we have received many Portuguese, Spanish and Polish immigrants, but it was not a problem and it is still not a problem. Because they are really European races. But nowadays, the problem, you will see more and more, is the problem of Africans. They arrive in whole boats that are made by mafias in the mothers. They arrive on our coasts and for some time now we have not been able to prevent this problem. The EU has to take tough measures for this. It's terrible.	fr	[16 :18] Je voudrais dire, des portugais - je suis française. On a eu en France, on a accueilli beaucoup des portugais, d’espagnoles, des polonais, mais ce n’était pas un problème et c’est toujours pas un problème. Parce que c’est des races vraiment européennes. Mais maintenant aujourd’hui, le problème, vous allez voir de plus en plus, c’est le problème d’africains. Qui arrivent en bateaux entiers qui sont fait par des mafias dans les mères. Ils arrivent sur nos côtes et depuis quelque temps on ne pourra pas arriver à conjurer ce problème-là. Il faut que l’UE puisse prendre des mesure dures pour ça. C’est terrible. [13 :47]	0	0.0	1.0	1	1
so I was talking about that. Benjamin said we have to distinguish between illegal immigration and legal immigration. I don't think we need to distinguish. Everybody who goes to another country has a right to do that, right? I don't think there should be countries at all, by the way. I am a citizen of the world. And if there is nothing to eat and nothing to drink somewhere, then you are allowed to go somewhere else. If there's nothing in Spain, then I would go somewhere else, wouldn't I?	de	[1:01:57] also ich habe darüber gesprochen. Benjamin sagte, wir müssen unterscheiden zwischen illegaler Einwanderung und legaler Einwanderung. Ich glaube nicht, dass wir unterschieden müssen. Jeder, der sich in ein anderes Land begibt, hat doch ein Recht dazu. Ich denke übrigens, dass es Länder gar nicht geben sollte. Ich bin ein Weltbürger. Und wenn es irgendwo nichts zu essen und nichts zu trinken gibt, dann darf man doch woanders hingehen. Wenn es in Spanien nichts gibt, dann würde ich doch auch woanders hingehen, oder nicht? [1:02:26]	2	2.0	0.0	2	2
I would like to say that Muslims are people and people are different. I have been living for one year in Köln, I was studying, and there are plenty of Muslims. In fact, some of them assimilate themselves and were normally taking part in classes, they were also my neighbours, but there was something that scared me a lot in their culture. For example, at the beach we could see a man without any clothes and his wife fully dressed up, sweaty and she couldn’t show her face. Other example, I had a friend which was saying that she would never marry a guy which is not Turkish. She has been living there for 20 years and could never change her mind because this is exactly what her parents want to. The thing that scares me most is the women’s role in their culture. The fact that they do not have any rights, that they can not show their faces. It is not about the religion because this is completely neutral for me, in what somebody believe in. However, some elements of their culture are contradictory to democracy in our European approach and sometimes I am scared of this.	pl	[23:51]I would like to say that Muslims are people and people are different. I have been living for one year in Köln, I was studying, and there are plenty of Muslims. In fact, some of them assimilate themselves and were normally taking part in classes, they were also my neighbours, but there was something that scared me a lot in their culture. For example, at the beach we could see a man without any clothes and his wife fully dressed up, sweaty and she couldn’t show her face. Other example, I had a friend which was saying that she would never marry a guy which is not Turkish. She has been living there for 20 years and could never change her mind because this is exactly what her parents want to. The thing that scares me most is the women’s role in their culture. The fact that they do not have any rights, that they can not show their faces. It is not about the religion because this is completely neutral for me, in what somebody believe in. However, some elements of their culture are contradictory to democracy in our European approach and sometimes I am scared of this.[25:18]	2		1.0	2	0
Corruption, it's at the many levels. That is to say that - as I said earlier - there are elections that take place, someone is democratically elected and everything is rigged so that the other is elected because the other has - as Pierre said earlier - he has the people, the economic powers, the international firms. Because with them, the agreements between countries and countries, they are not interested, they always want - for example in the oil wells, I speak for example in my country there is all the gold and diamonds, I do not know if you watch often enough the TV, there is the Congo, Rwanda, there, the ore that is there, all the laptop of the world, it is the ore that is there. So they don't want that - the country is not an exporter of these minerals, it is another country opposite that is an exporter. To show you how the complicity of things is, they want, they put someone in their place and the companies there exploit practically for free with those who corrupt Africans to make wars, because with money you can do everything - maybe not in Europe, but in Africa with money you can do everything. So they play on that and that's why there is war all the time, so they can profit. They don't want there to be safe structures for it to work, that's it. There was [... I have a brother in the village who is - if I don't send him a shirt, he doesn't wear it - he's happier than I am, because when I see all this, it's unfortunate, as we said earlier in the questionnaires, I'm French but there's no one who would really like to leave their country to - even though I have cars here and all that, I would have preferred - and with that help by the way, I studied to help these little ones because I, until I was six years old, I didn't wear shoes and now then now, people wear shoes but I can't, it's even worse these days, that's the problem.	fr	[36:16] La corruption, elle est aux plusieurs niveaux. C'est-à-dire que – comme j’ai dit tout à l’heure – il y a les élections qui se passent, quelqu’un est élu démocratiquement et on truque tout pour que l’autre soit élu parce que l’autre il a – comme Pierre à dit tout à l’heure – il a les gens, les pouvoirs économiques, c’est les firmes internationaux. Parce que avec eux, les accords entre pays et pays, ça ne leurs intéressent pas, ils veulent toujours – par exemple dans les puits de pétrole, je parle par exemple chez moi il y a tout de l’or et des diamants, je ne sais pas si vous regardez assez souvent la télé, il y a le Congo, le Rouanda, là, le minerai qui est là-bas, tout le portable du monde, c’est le minerai qui est là-bas. Donc ils ne veulent pas que – le pays n’est pas exportateur de ces minerais là, c’est un autre pays en face qui est exportateur. Pour vous montrer comment la complicité des choses c'est-à-dire ils veulent, ils on mit quelqu’un à leur place et les firmes-là exploitent pratiquement gratuitement avec ceux qui corrompent les Africains pour faire des guerres, parce qu´avec l’argent on peut tout faire – peut-être pas en Europe, mais en Afrique avec l’argent vous pouvez tout faire. Alors, ils jouent sur ça et c’est pour ça qu’il y a la guerre tout le temps pour qu’ils profitent. Ils ne veulent pas qu’il y ait des structures sûres pour que ça fonctionne, c’est ça. Il y avait […] chez nous qui est arrivé et qui occupe tout, d’ailleurs moi, je vous parle j’aurais même préféré de rester sans civilisation parce que c’est – j’ai un frère qui est au village qui est – si je ne lui envoie pas une chemise, il ne porte pas - il est plus heureux que moi, parce que moi en voyant tout ça, c’est malheureux, c’est comme on a dit tout à l’heure dans les questionnaires, je suis français mais il n’y a aucune personne qui aimerait vraiment quitter son pays pour – même si j’ai des voitures ici et tout ça, j’aurais préféré – et avec ça aider d’ailleurs, j’ai fait des études pour aider ces petits là parce que moi, jusque à l’âge de six ans, je ne portait pas des chaussures et maintenant alors actuelle, les gens portent des chaussures mais je ne peux pas, c’est encore pire encore ces dernières temps, voilà le problème. [39:02]	2	1.0	0.0	1	0
On immigration, my opinion in general is mainly... I would like to talk about the quality of this immigration. Should we as Europeans take on or accept all individuals or should we choose, be selective? And when I talk about selective, it is always in the background, an interest here, obviously, that there are specificities of each member country that must defend its culture, that must defend its values. And I think that immigration must be conditioned by...	fr	[1.14 :15] Concernant l’immigration, mon opinion de manière générale c’est surtout… j’aimerais parler de la qualité de cette immigration. Est-ce-que nous devons assumer en tant qu’Européen assumer ou accepter tous les individus ou alors on doit choisir, être sélectif ? Et quand je parle ici de sélectif, c’est toujours dans des fond on, un intérêt ici, évidemment, qu’il y a des spécificités de chaque pays membre que doit défendre sa culture, que doit défendre ses valeurs. Et je pense que l’immigration doit être conditionnée par… [1 :15 :00]	0	1.0	0.0	1	0
It is quite a problematic case. I think that the country plays an important role with helping immigrants. Let’s say that a concrete person would like to stay and live in a certain country, and then the government should ensure the normal development of such a family, especially the youngest members of this immigrant’s family. So at least one person of this family will have a higher education and no matter if he lived in Germany or Italy, he would have a better start and would integrate not only in the family’s country from which she escaped but also in the whole Europe. Here, the most important is education system and health care system and for that the country should give money.	pl	[19:22]It is quite a problematic case. I think that the country plays an important role with helping immigrants. Let’s say that a concrete person would like to stay and live in a certain country, and then the government should ensure the normal development of such a family, especially the youngest members of this immigrant’s family. So at least one person of this family will have a higher education and no matter if he lived in Germany or Italy, he would have a better start and would integrate not only in the family’s country from which she escaped but also in the whole Europe. Here, the most important is education system and health care system and for that the country should give money.[20:13]	0	1.0	0.0	1	0
I think that immigration is not really able to solve this problem; this is also very clear in my area, because in our country, for example, they want to hire Chinese, who demand wages that are twice as high as in Poland but this is not a solution in the long run.	de	[22:15] Ich bin der Meinung, dass die Einwanderung diese Problematik eigentlich nicht zu lösen vermag; das wird auch in meiner Gegend sehr deutlich, denn bei uns bei uns will man zum Beispiel Chinesen einstellen, die zum Beispiel Löhne verlangen, die doppelt so hoch sind wie in Polen aber das ist doch keine Lösung auf die Dauer. [22:38]	0	1.0	1.0	1	0
Yeah okay, no, I'm also a Christian and I wouldn't want to just send people back to a place where they would be tortured, no, I don't want that either. But you have to give them tools too. It's hard to say, well, do this, do that, but what do you do? And so the subject is obviously very difficult, otherwise politics would certainly have found a solution a long time ago, but they are also confronted with great problems and they are not able to solve these problems. So maybe when we can agree to move forward a little bit and Björn had [presented] all the facets or the aspect of the church et cetera, I also do this type of work but so finally we have to move forward and so as I was telling you we need one solution for [each] country or - who knows - one day more countries and in any case we need one law, one rule for all these countries, so for all.	fr	[44:33] Oui d’accord, non, je suis aussi chrétien et je ne voudrais pas faire tout simplement renvoyer des personnes à un endroit où ils seraient torturés, non, je ne le veux pas non plus. Mais il faut leur quand-même donner des instruments aussi. C’est difficile de dire voilà, fait ceci, fait cela mais que faut-il faire ? Et donc le sujet évidemment est très difficile, sinon la politique aurait certainement déjà trouvé une solution depuis longtemps mais donc ils sont aussi confrontés à grands problèmes et ils n’arrivent pas à résoudre ces problèmes-là. Donc peut-être quand-t-on peut se mettre d’accord pour avancer un peu et Björn avait [présenté] toutes les facettes ou l’aspect de l’église et cetera, je le fait aussi ce type de travail mais donc finalement il faut avancer et donc comme je vous disais il faut une seule solution pour [chaque] pays ou – qui sait – un jour plus de pays et en tout cas il faut une loi, une règle pour tous ces pays, donc pour tous. [45:57]	3	1.0	1.0	1	0
You could also do it with partnerships. That each country has its own partnership with another country.	de	[69:06] Man könnte es ja auch mit Partnerschaften machen. Das jedes Land seine eigene Partnerschaft hat mit einem anderen Land. [69:16]	2	1.0	0.0	1	0
I said that I worked in a hospital, a French hospital, and to answer the question of illegals, in reality, what happens is that all the undocumented migrants in France have friends who have papers and it is very dangerous for them because you can see people who have the same blood group card for ten people. So ten women come to hang? with the same group card to have the right to care but on the other hand, they put their life in danger. That's the answer to the fact that they are illegal. That's why we can't tolerate keeping the illegals because they put their lives in danger too. We really need to legalize, perhaps on a case by case basis, as Rudolf just said, to do everything possible so that there are no more people who hire and exploit them; that they are really declared; that the whole family is declared so that they can have care and therefore to come back to what Serge-Henri was saying; because there are no more borders, it is obvious that this is not a problem that can be solved country by country but it is really a problem that must be solved by the European Union. So that we really take a common decision, indeed perhaps common criteria but I don't see how to do it for a country, then they put for example criteria and another country other criteria; it seems to me that it is no longer possible then current because there are no more borders.	fr	[44 :50] J’ai dit que j’ai travaillé dans un hôpital, un hôpital français et pour répondre à la question des illégaux, en réalité, ce qu’y se passe, tous les sans-papiers en France ont des amis qui ont des papiers et c’est très dangereux pour eux parce qu’on arrive à  voir des gens qui ont la même carte de groupe sanguins pour dix personnes. Donc dix femmes viennent accrocher[ ?] avec le même carte de groupe pour avoir droit aux soins mais par contre, elles mettent leur vie en danger. Voilà la réponse par rapport au fait qu’ils soient illégaux. C’est pour ça qu’on ne peut pas tolérer de garder les illégaux parce qu’ils mettent leur vie en danger également. Il faudrait réellement légaliser peut-être au coup par coup, effectivement comment vient de dire Rudolf, tout mettre en œuvre pour qu’il n’y ait plus des gens qui les embauchent et qui les exploitent ; qu’ils sont vraiment déclarés ; que toute la famille soit déclaré pour qu’ils puissent avoir les soins et donc à revenir à ce que disait Serge-Henri ; du fait qu’il n’y a plus de frontières, il est évident que ce n’est pas un problème qu’on peut régler pays par pays mais c’est  réellement un problème qui est à régler par l’Union Européenne. Donc qu’on prend vraiment une décision commune, effectivement peut-être des critères communs mais je ne vois pas comment le faire pour un pays, puis ils mettent par exemples des critères et un autre pays d’autres critères ; il me semble que ce n’est plus possible alors actuel du fait qu’il n’y ait plus de frontières. [46 :08]	2	2.0	1.0	3	2
Well in that case I am thinking about the example we have had in Holland. At one point we have had a dentist deficit. Maybe there are some good dentists in Poland, but on the other hand, those people required to speak Dutch. They may have high qualifications, but there is a problem with communication. Maybe it would be worth to introduce one language in Europe that would allow us to solve this problem.	pl	[43:50] Well in that case I am thinking about the example we have had in Holland. At one point we have had a dentist deficit. Maybe there are some good dentists in Poland, but on the other hand, those people required to speak Dutch. They may have high qualifications, but there is a problem with communication. Maybe it would be worth to introduce one language in Europe that would allow us to solve this problem.  [44:21]	0	1.0	1.0	1	1
Don't you think that having autonomy is not very compatible with the notion of having freedom of movement on European soil? And from the moment when we want to have this freedom, we can hardly be autonomous, not taking into account, in fact, the problem in a whole Europe. [1 :	fr	[1 :18 :47] Est-ce-que vous ne pensez pas qu’avoir son autonomie, c’est quand même pas très compatible avec le fictive d’avoir une liberté de mouvement à la terre de l’Europe ? Et à partir du moment où on désire avoir cette liberté, on peut difficilement être autonome, ne pas prendre en compte, en fait, le problème dans un ensemble de l’Europe. [1 :19 :09]	2	1.0	0.0	2	2
Dear friends, nobody in the EU will determine quotas for the states and I think it is absurd to determine such quotas. Only employers knows how many employees they need, how many of them they can employ. The state as well but only in certain areas, but not the EU. The EU should not determine such quotas and the number of immigrants that a certain EU-country can accept. How can the EU know this? Seasonal workers are necessary, depending on economic developments. Now the situation is critical because we have an economic crisis so we do not need those people who came from abroad because we do not have work for our own citizens. However, if we established concrete quotas, we would establish this situation. In socialism it was similar, we had similar plans and we established absurd quotas.	pl	[56:29]Dear friends, nobody in the EU will determine quotas for the states and I think it is absurd to determine such quotas. Only employers knows how many employees they need, how many of them they can employ. The state as well but only in certain areas, but not the EU. The EU should not determine such quotas and the number of immigrants that a certain EU-country can accept. How can the EU know this? Seasonal workers are necessary, depending on economic developments. Now the situation is critical because we have an economic crisis so we do not need those people who came from abroad because we do not have work for our own citizens. However, if we established concrete quotas, we would establish this situation. In socialism it was similar, we had similar plans and we established absurd quotas.[57:45]	1	1.0	0.0	2	0
I have separated friends who are looking for daycare for their children and they are not given the daycare. So, for immigrants, then from one of the aids for schools, to find places in day care, for apartments, housing, and so finally, there is no more right, there is no more equity. I don't know what you think, but this is really incredible. On top of that, well, there are people who come to Spain, well, there are murderers, thieves... These people come in space and that makes me (...). So a (...) or a (...), it's quite normal.	fr	[10:53] J’ai des amies séparées qui cherchent des garderies pour leurs enfants et on leur donne pas les crèches. Alors, pour les immigrés, alors d’un des aides pour les écoles, pour trouver les places dans les garderies, pour les appartements, les logements, et donc finalement, il n’y a plus de droit, il n’y a plus d’équité. Je ne sais pas que vous en pensez vous mais voilà, c’est vraiment incroyable. Par-dessus le marché, bon il y a des gens qui viennent en Espagne, bon, il y a des assassins, des voleurs… Ces gens viennent en espace et ça me (…). Alors une (…) ou une (…), c’est tout à fait normal. [11 :38]	0	0.0	1.0	1	1
I unfortunately don't have an opinion about setting a set number of quotas. I think you really have to make a difference, such as shares. There are for example immigrants where there is a real urgency of integration, these are people who do not even speak the language of the country, so that even if they wanted to, they could not integrate. And then the zero immigration, I think it is a completely unrealistic solution because for example the former communist countries still constitute a certain danger - we saw last year when the Russians entered Georgia for example. For example Chechnya is also a very dangerous place and especially the rich people from these former communist countries often live here, in Vienna at least. So they do their business from here and I think that zero immigration is not a solution at all. Moreover, it is not possible and for example in Ukraine we don't know at all how the development will continue, even the country could be divided in two so I don't think that in these countries, precisely ex-communist, the situation is already calm.	fr	[50:30] J’ai malheureusement pas une opinion par rapport à l’établissement d’un nombre déterminé de quotas. Je crois qu’il faut vraiment faire la différence, telle des parts. Il y a par exemple des immigrées où il y a une urgence vraiment d’intégration, ce sont les gens qui ne parlent même pas la langue du pays, donc qui même s’ils le voulaient, ils ne pourraient pas s’intégrer. Et puis l’immigration zéro, je pense que c’est une solution tout-à-fait irréelle car par exemple les anciens pays communiste constitue toujours un certain danger – nous avons vue l’année dernière lorsque les Russes sont entrée en Géorgie par exemple. Par exemple la Tchétchénie c’est également un endroit très dangereux et surtout les riches de ces ex-pays communistes vivent souvent chez nous, à Vienne en tout cas il y en a plains. Donc ils font leur commerce à partir de chez nous et je crois que l’immigration zéro en tout cas ce n’est pas du tout une solution. D’ailleurs ce n’est pas possible et par exemple en Ukraine on ne sait pas du tout non plus comment le développement continuera, même le pays pourra être divisé en deux donc je ne pense pas que dans ces pays-là, justement ex-communiste, la situation soit déjà tranquille. [52:10]	0	1.0	1.0	2	0
I would also like to say something briefly about this, and I think it is very important that those who want to come to the country should learn the language, so that they can communicate with each other, so that they can explain, both the locals and those who come from outside, so that there are no misunderstandings, and both the country that accepts them has tasks, but also those who come in must try - or it should be absolutely necessary - to learn this language.	de	[47:13] Ich möchte dazu auch noch kurz etwas sagen und zwar halte ich das für ganz wichtig, dass derjenige, der in das Land kommen möchte, die Sprache lernen sollte, damit man halt auch kommunizieren kann miteinander, damit man auch erklären kann, sowohl die Einheimischen als auch die von ausserhalb kommen, damit es dort nicht Missverständnisse gibt und da hat sowohl das Land das aufnimmt Aufgaben, aber auch derjenige der hineinkommt muss versuchen – oder sollte es sogar ganz unbedingt – diese Sprache zu lernen. [47:53]	0	1.0	0.0	2	0
I would say that the people which are coming to the EU from the non-EU countries sometimes sell their entire wealth because they need money for the journey, which is very expensive. Afterwards, when they are coming back to their own countries, they have nothing. It is not that simple to just let them go back to their own countries and look for help in the country from which they fled.	pl	[03:47]I would say that the people which are coming to the EU from the non-EU countries sometimes sell their entire wealth because they need money for the journey, which is very expensive. Afterwards, when they are coming back to their own countries, they have nothing. It is not that simple to just let them go back to their own countries and look for help in the country from which they fled.[04:13]	1	2.0	0.0	2	0
One last thing I would like to add. Democracy is based on rights. Someone who comes has rights, but then there are also duties in democracy. We give rights and obligations. The people who come must then also comply with the obligations that come with the rights.	de	[1:06:39] eine letzte Sache, die ich gerne anfügen möchte. Demokratie basiert auf Rechten. Jemand, der kommt, hat Rechte, aber dann gibt es auch Pflichten in der Demokratie. Wir geben Rechte und Pflichten. Die Personen, die kommen, müssen dann auch die Verpflichtungen einhalten, die mit den Rechten einhergehen. [1:07:05]	0	1.0	0.0	1	0
I think that this must be some universal language, universally understood, because we are very much divided into so many countries that it would be necessary to choose the language. So I think when employers will have to decide about the languages I do not know if this is a good solution. Because when they will not need these employees anymore, then what? Send them back? Surely, these people live, receive benefits and when the employer would just one day release them and the government would have to pay benefits for them, so it would be a kind of cooperation. This selection must be conducted with the joint employers and governments. If you would put on the freedom of the markets, then employers who do not need them (immigrants=workers) will fire them someday. Who will have to deal with this problem? Society, we all, our governments?	pl	[59:37] I think that this must be some universal language, universally understood, because we are very much divided into so many countries that it would be necessary to choose the language. So I think when employers will have to decide about the languages I do not know if this is a good solution. Because when they will not need these employees anymore, then what? Send them back? Surely, these people live, receive benefits and when the employer would just one day release them and the government would have to pay benefits for them, so it would be a kind of cooperation. This selection must be conducted with the joint employers and governments. If you would put on the freedom of the markets, then employers who do not need them (immigrants=workers) will fire them someday. Who will have to deal with this problem? Society, we all, our governments?[1:00:33]	0	1.0	0.0	3	0
...the other solution - I'll make it shorter - the other solution [is] extremely naive. Like some were multicultural, very many young years ago were very naive in Germany, have seen the enrichments, new cultures, have become more skeptical, so laisser-faire principle. Opening the borders, legalizing the illegals in spurts; that will not make sense in my opinion. To make it simple, in the well-prepared materials, there are two points that might be partially agreed upon already here in this small circle. We needed a considered immigration, a qualified immigration. For very well also selfish, economic reasons. We have to admit that, because pure altruism leads to one's own downfall possibly. That is possible. A selected [choice] of people we need, who are also capable of integration. To make it quite sweeping, we in the small Europe although 470 million rich, cannot possibly the poverty potential, the over potential of the third world, topic overpopulation, topic births - also with the climatic change. Nowhere a keyword, it besides the globalization of the problem a topic. After all, we have population growth in these countries, fourth world, they have a birth rate up to 25 percent to 25 if we hang at 1.4. Yes.	de	[04:45] …die andere Lösung – ich mach es kürzer – die andere Lösung [ist] extrem blauäugig. Wie manche waren Multikulti, sehr viele Junge vor Jahren waren sehr blauäugig in Deutschland, haben die Bereicherungen gesehen, neue Kulturen, sind skeptischer geworden, also laisser-faire-Prinzip. Aufmachen der Grenzen, die Illegalen legalisieren in Schüben; das wird meiner Meinung nach nicht sinnvoll sein. Um es einfach zu machen, in den gut vorbereiteten Materialien gibt es zwei Punkte, auf die man sich hier in diesem kleinen Kreis vielleicht schon teilweise verständigen könnte. Wir brauchten eine überlegte, eine qualifizierte Einwanderung. Aus sehr wohl auch egoistischen, ökonomischen Gründen. Das muss man sich eingestehen, weil reiner Altruismus führt zum eigenen Untergang womöglich. Das ist möglich. Eine Ausgewählte[Auswahl] von Leuten die wir brauchen, die auch integrationsfähig sind. Um es ganz pauschal zu machen, wir in dem kleinen Europa zwar 470 Millionen reich, können unmöglich das Armutspotential, das Überpotential der dritten Welt, Thema Übervölkerung, Thema Geburten – auch beim Klimawandel. Nirgendwo ein Stichwort, es neben der Globalisierung des Problems ein Thema. Wir haben ja in diesen Ländern ein Bevölkerungswachstum, vierte Welt, die haben eine Geburtenrate bis 25 Prozent bis 25 wenn wir bei 1.4 hängen. Ja. [06:13]	0	1.0	0.0	3	2
We raised some issues of a problem which concerns not only Slovenia and Poland. Some of the EU-countries have a much bigger problem with immigration policy, especially with illegal immigration. We red what is happening in Southern Italy where the immigrants arrive traversing the sea. So I think that our problems are smaller than other European countries.	pl	[39:01]We raised some issues of a problem which concerns not only Slovenia and Poland. Some of the EU-countries have a much bigger problem with immigration policy, especially with illegal immigration. We red what is happening in Southern Italy where the immigrants arrive traversing the sea.  So I think that our problems are smaller than other European countries.[39:41]	2	1.0	0.0	1	1
