cleaned_comment	orig_lang	speech	cGood
It's not immigrants as we talk about because there are immigrants in every country, they have a nationality, I say in every country there are gypsies. Every country - I mean they go around the world but I mean they have a country, they are not the majority and they are still part of Europe, they are not - I mean it's not illegal, they are not - I'm not sure if you understand what I mean but -.	fr	[42:21] Ce n’est pas des immigrants comme on parle parce qu’il y en a dans tous les pays, ils ont une nationalité, je dis qu’il y a dans tous les pays des gitans. Chaque pays – je veux dire ils se baladent dans le monde mais je veux dire ils ont un pays, ils ne sont pas la majorité et ils sont quand-même partie de l’Europe, ils ne sont pas – je veux dire ce n’est pas illégal, ils ne sont pas – je ne suis pas sur si vous comprenez ce que je veux dire mais –. [42:50]	0
So, the question of whether we should close the borders or not would not arise if we were trying to prevent people from wanting to come into Europe at all. People don't actually want to give up their homeland, I think at least. They want to do that because they live in unbelievable misery. They don't have anything to eat, they don't have anything to drink, and then they probably see on television, which they have, what it looks like in Europe. This means that if we try to build up structures - economic structures - there, provide much more reconstruction aid and so on, we will certainly save ourselves some huge mass migrations towards Europe, which is certainly more favorable in the long term than sealing off Europe. We have huge borders in the east and peoples will probably migrate from the east at some point. And secondly, in the long run, you also create large sales markets. The EU is so successful, also economically so successful, because it relies on cooperation and not on confrontation and competition. Competition within, but within a certain framework. By and large: cooperation. If we try to enforce that as the EU worldwide or at least on a larger scale, then maybe we can [not only] prevent people from living in poverty on the one hand, not having anything to eat, not having anything to drink, starving, dying of thirst, but we can also eliminate problems for us and probably even create sales markets still for our domestic economy.	de	[1:26:55] also, die Frage, ob wir die Grenzen zu machen sollen oder nicht, würde sich ja nicht stellen, wenn wir  versuchen würden, dass die Leute überhaupt nach Europa hinein wollen. Die Leute wollen eigentlich ja nicht ihre Heimat aufgeben, denke ich zumindest. Das wollen sie, weil sie in einem unglaublichen Elend leben. Nichts zu essen haben, nichts zu trinken haben und dann wahrscheinlich übers Fernsehen, das sie dann haben, sogar noch sehen, wie es in Europa aussieht. Das heisst, wenn wir versuchen, dort Strukturen – wirtschaftliche Strukturen – aufzubauen, viel mehr Aufbauhilfe leisten und so weiter, ersparen wir uns sicher einige riesige Völkerwanderungen Richtung Europa hin, was auf Zeit sicherlich einerseits günstiger ist, als die Abriegelung Europas. Dazu bräuchte man massenhaft Militär, wir haben im Osten riesige Grenzen und auch aus dem Osten werden wahrscheinlich irgendwann die Völker migrieren. Und zweitens schafft man auf lange Sicht auch grosse Absatzmärkte. Die EU ist so erfolgreich, auch wirtschaftlich so erfolgreich, weil sie auf Kooperation setzt und nicht auf Konfrontation und auf Konkurrenz. Konkurrenz innerhalb, aber in einem bestimmten Rahmen. An sich im Grossen und Ganzen: Kooperation. Wenn wir das versuchen als EU weltweit durchzusetzen oder zumindest im grösseren Stil, dann können wir vielleicht damit [nicht nur] verhindern, dass Leute einerseits in Armut leben, nichts zu essen haben, nichts zu trinken haben, verhungern, verdursten, sondern können auch für uns Probleme beseitigen und wahrscheinlich sogar Absatzmärkte noch für unsere heimische Wirtschaft schaffen. [1:29:05]	2
That's correct, I know it, I know it in practice, so they learn by heart and then fifteen days later they don't know anything. But hey, they have the certificate. So that's where we need to act, that's where we need to intervene.	fr	[60:55] C’est correcte, je le sais, je le connais dans la pratique, donc ils apprennent par cœur et puis quinze jours après ils ne savent plus rien. Mais bon, ils ont le certificat. Donc c’est là qu’il faut agir, c’est là qu’il faut intervenir. [61:12]	0
Yes, maybe to ask a little question: This documentation, I didn't read it very thoroughly. It is not clear to me what the common policy of the European Union is. So I don't know this immigration policy perfectly. I already know some national accents, but of the European Union, I don't know what are the main lines of their policy.	fr	[17:36] Oui, peut-être quand-même de poser une petite question : Cette documentation, je ne l’ai pas lue très approfondi. Il ne m’est pas claire quelle est la politique commune de l’Union Européenne. Donc cette politique de l’immigration, je ne la connais pas parfaitement. Je connais déjà quelques accents nationaux, mais de l’Union Européenne, je ne sais pas quels sont les grandes lignes de leur politique. [18 :02]	0
I think it's problematic to say you can help any country. A large part of Iran or Iraq may not think that way. Yes, I think it's problematic that you want to help these peoples, because a large part of the population doesn't see it that way. We are talking about those who are fleeing, that is a minority, and if you were to tell the Iranians, for example, that you have to help them, then many would be offended. They would find that arrogant. And that's why it all sounds very idealistic, but you have to keep in mind the real political situation and see what you can do, but also take into account that these peoples have their own pride.	de	[34:07] Ich halte es für problematisch, dass man sagt, man kann jedem Land helfen. Ein Grossteil im Iran oder im Irak denkt vielleicht nicht so. Ja, ich halte es für problematisch, dass man eben diesen Völkern helfen will, weil ein Grossteil der Bevölkerung sieht das gar nicht so. Wir reden ja von denen die fliehen, das ist eine Minderheit und wenn man den Iranern beispielsweise erzählen würde, man müsse ihnen helfen, dann wären viele beleidigt. Die empfinden das als arrogant. Und deswegen klingt das ja alles sehr idealistisch aber man muss sich die realen politischen Verhältnisse auch vor Augen halten und da schon sehen, was man machen kann, aber auch eben berücksichtigen, dass diese Völkerihren eigenen Stolz haben. [34:47]	0
We're on the wrong topic anyway, because we're talking about labor exchange within the EU and our topic is usually migration outside the EU.	de	[58:58] Wir sind sowieso beim falschen Thema, weil wir uns jetzt über Arbeitskräfteaustausch innerhalb der EU unterhalten und unser Thema ist ja normalerweise Migration ausserhalb der EU. [59:09]	0
As it comes to Holland, the asylum procedures are often very long, complicated and hard. So when someone comes to our country and applies for an asylum, things are really very complicated and practically, there are no structures which would enable to accommodate such people in an appropriate way. Some people had been living like that for 12 years and had not received any support. This is a real disaster for them and their future, especially for the young ones. What future do they have? They lose part of their youth and live like this, not otherwise. They cannot even attend school because they are illegal. So there are people who often are forced to leave our country and their children for example went to school and cannot pass the final exams and have no diplomas. These are the downsides and unpleasant sides of asylum procedures which are, well, necessary for the immigrants who I mentioned.	pl	[08:13] As it comes to Holland, the asylum procedures are often very long, complicated and hard. So when someone comes to our country and applies for an asylum, things are really very complicated and practically, there are no structures which would enable to accommodate such people in an appropriate way. Some people had been living like that for 12 years and had not received any support. This is a real disaster for them and their future, especially for the young ones. What future do they have? They lose part of their youth and live like this, not otherwise. They cannot even attend school because they are illegal. So there are people who often are forced to leave our country and their children for example went to school and cannot pass the final exams and have no diplomas. These are the downsides and unpleasant sides of asylum procedures which are, well, necessary for the immigrants who I mentioned.  [09:26]	0
So, we're talking about the problems caused by immigration. It is clear that there are problems. So, what are they? There is no money for everyone, everything is linked to the economy, which is ultimately the cement of the world, of Europe. Here, everything is finally posed in economic terms. And when the economic aspect is no longer relevant, and this is where we start talking about immigration in other terms than this that is not good, that is not interesting. But as long as the economic budget balance is good, finally nobody asks the question about immigration. On demand; but yes, let them come, let them come and let them come, if you need to build a church, fine, a synagogue, fine, if you need a mosque, too. But as soon as things go wrong, then finally the immigrants become a lot of misery. That's how it is in Spain. There is the cultural aspect of the church that has never been solved, well Franco solved it in his time, but not Spain. So, this cultural aspect of the church, when we talk about separating things, well, we will see the question of immigration with other eyes, as France does. But in Spain we have started to welcome immigrants, only a few years ago, with the obvious exception of South Americans. Obviously, it is the same language, so they were more easily welcomed. Now, Spain, it brings from Africa, they bring for Latin America, so, and everybody goes where they can go. Europe has always had open doors, when other countries elsewhere have not always been open like those of Europe and Spain is located in a place, obviously, that makes it receive many people who pass through, because afterwards they go to France, Belgium, Germany and this is a problem that we face. So even if it's a transit immigration, for a year or two or sometimes for a lifetime or sometimes it's not just a few days. So ultimately it's an economic issue. We don't talk about benefits today because things are bad. And if things were better, we could try to get into the debate. So we need to ask the economic question and better link it to this immigration question.	fr	[05 :42] Alors, on parle ici des problèmes causés par l’immigration. Il est clair qu’ils existent, des problèmes. Alors, quels-sont-ils ? Alors, il n’y a pas d’argent pour tout le monde, que tout et finalement lié à l’économie et qui est finalement le ciment du monde, enfin de l’Europe. Ici, tout est finalement posé en termes économiques. Et lorsque l’aspect économique n’a plus cours, et c’est là où on commence à parler de l’immigration d’autre termes que ceci que cela qui n’est pas bonne, qui n’est pas intéressant. Mais tant que l’équilibre budgétaire économique est bon, finalement personne ne se pose la question sur l’immigration. A la demande ; mais oui, faites-les venir, faites-les venir et qu’ils viennent, s’il faut construire une église, très bien, une synagogue, très bien, s’il faut une mosquée, aussi. Mais dès que les choses vont mal, alors finalement les immigrés deviennent beaucoup de misère. Voilà, c’est comme ça se passe en Espagne. Il y a l’aspect culturel de l’église qui n’a finalement jamais été résolu, bon Franco l’avait résolu dans son temps, mais pas l’Espagne. Donc, cet aspect culturel de l’église, quant on parlera à séparer les choses, et bien, on verra la question de l’immigration avec d’autres yeux, comme le fait la France. Mais en Espagne on a commencé à accueillir les immigrés, il y a très peu seulement,  à l’exception évidemment des Sud-Américains. Évidemment, c’est la même langue, donc ils ont été plus facilement accueillis. Maintenant, l’Espagne, elle apporte de l’Afrique, ils apportent pour l’Amérique Latine, donc, et tout le monde va là où il peut aller. L’Europe a toujours eu les portes ouvertes, quand d’autres pays ailleurs ne sont pas toujours étés ouvertes comme ceux de l’Europe et l’Espagne est située dans un lieu, évidemment, qui fait qu’elle accueille beaucoup des gens qui passe le passage, parce que après, ils se rendent en France, en Belgique, en Allemagne et c’est un problème auquel nous faisons face. Donc même si c’est une immigration de passage, d’un an ou deux ou parfois pour toute la vie ou parfois ce n’est pas uniquement quelques jours. Donc finalement c’est une question d’ordre économique. On ne parle pas d’avantages aujourd’hui parce que les choses sont males. Et si les choses allaient mieux, on peut essayer de rentre au débat.  Donc il faut plutôt poser la question économique et mieux la lié à cette question de l’immigration. [08 :43]	0
I never said that people, these people are ruining our lives. I said that we don't know how to integrate them and that we have to make an effort so that they integrate and have a decent life in France, in fact in France or in Germany.	fr	[49:01] J’ai jamais dit que les gens, ces gens nous pourrissent la vie. J’ai dit qu’on ne savait pas les intégrer et qu’il faut faire un effort pour qu’ils s’intègrent justement et qu’ils aient une vie décente en France, en fait en France ou en Allemagne. [49:15]	0
That's not what I meant by sealing off the borders, but I am of the opinion that targeted immigration is quite reasonable, only: We have to concentrate on those who have to think for us and concentrate on getting, among other things, people into the countries who have the appropriate professional experience, so that the work is not taken away from the lower income classes. So we have to work in a targeted way to get a grip on this. There are social aspects that come into it, but don't make a cage around it, but let others in and then do it properly and give the people who are there - the poor countries, where they say to themselves that enough has already been done to them in the colonies, that they should be given the opportunity to be able to build something in their own country and not as refugees - where you see these bad things on TV - that shouldn't be, but they should be able to develop at home in such a way that they don't have to do that; to drive here and drown.	de	[25:14] Das hab ich so nicht gemeint mit den Grenzen abschotten, sondern bin der Meinung, dass eine gezielte Zuwanderung durchaus vernünftig ist, nur: Wir müssen uns ja darauf konzentrieren, die für uns denken müssen und sich darauf konzentrieren, dass man unter anderem auch solche Leute rein bekommt in die Länder, die entsprechende Berufserfahrung haben, dass nicht den unteren Einkommensklassen die Arbeit weggenommen wird. Also es muss gezielt gearbeitet werden, um eben das richtig in den Griff zu bekommen. Es sind ja soziale Aspekte, die da mit reinkommen, aber nicht ein Käfig drum herum machen, sondern gezielt andere rein lassen und dann das richtig machen und denen Leuten, die da – die die armen Länder, wo sie sich sagen, denen wurde in den Kolonien schon genug angetan, denen sollte man die Möglichkeit geben, in ihrem eigenen Land etwas aufbauen zu können und nicht als Flüchtlinge – da wo man diese schlimmen Sachen sieht im Fernsehen – das darf nicht sein, aber die sollten sich zu Hause so entwickeln können, dass sie das nicht nötig haben, so was; hierher zu fahren und zu ertrinken. [26:34]	0
I just think that the minimum wage should be adjusted to the cost of living, because in every country also, so the food costs just different, the rents cost different, it should just be adjusted to the standard of living. From the various countries. And then maybe you can prevent something like that.	de	[47:23] Ich denke halt, dass sich der Mindestlohn an den Lebenserhaltungskosten angepasst sein sollte, da in jedem Land auch, also die Lebensmittel kosten einfach unterschiedlich, die Mieten kosten unterschiedlich, es sollte einfach an den Lebensstandart angepasst werden. Von den diversen Ländern. Und dann kann man sowas vielleicht auch verhindern.[47:46]	0
well, the philosophy of Islam is based on theocracy and not democracy. It makes a difference. It brings a different worldview. Because there, you base yourself on the morality that comes directly from the Koran. The way of thinking is quite different. The idea of morality is quite different. In Tenerife we have had many problems. So I'm a teacher and yes with the veil, there were some problems. The young girls come to school with the veil. If we want education and we want democracy, then what? Then everybody has to be equal. We said we don't want the veil to be put on and then the children were not sent to school. Rather that than that the parents would have allowed the veil to be dropped. Then the children don't go to school anymore. That was the result. In the Canary Islands, of course, we live with tourism. The Germans, the English come to us. We are a friendly host country, but there are demographic pressures. And it used to be quiet with us, but that quietness is gone. And then to the prisons. To the criminals that were addressed. Our prisons, they are hotels, so that is very different in our country than in other countries. The people are fine. They have food, people are taken care of, that's not so normal in our country. Regarding the Turkish residents and their integration: we have a problem with Eastern Europe, with people who came to us, to the Canary Islands, and there we tried to integrate the people, we had teachers who were supposed to remove the language barriers. That just to make it possible that the children at least know the local language.	de	[46:16] nun, die Philosophie des Islam basiert auf der Theokratie und nicht auf der Demokratie. Es macht einen Unterschied. Das bringt ein anderes Weltbild mit sich. Denn dort basiert man sich auf die Moral, die direkt aus dem Koran kommt. Die Denkweise ist ganz anders. Die Vorstellung von der Moral ist ganz anders. In Teneriffa haben wir viele Probleme gehabt. Also ich bin Lehrkraft und ja mit dem Schleier, da gab es einiges an Problemen. Die jungen Mädchen kommen mit dem Schleier in die Schule. Wenn wir Bildung wünschen und Demokratie wünschen, was dann? Dann müssen doch alle gleich sein. Wir haben gesagt, wir möchten, dass der Schleier nicht angezogen wird und dann wurden die Kinder nicht mehr zur Schule geschickt. Eher dass, als dass die Eltern zugelassen hätten, dass der Schleier wegfällt. Dann gehen die Kinder nicht mehr zur Schule. Das war das Ergebnis. Auf den Kanarischen Inseln leben wir natürlich auch mit dem Tourismus. Die Deutschen, die Engländer kommen zu uns. Wir sind ein freundliches Gastland, aber es gibt demographischen Druck. Und früher war es bei uns ruhig, aber diese Ruhe ist weg. Und dann zu den Gefängnissen. Zu den Kriminellen, die angesprochen wurden. Unsere Gefängnisse, das sind Hotels, das ist bei uns also ganz anders als in anderen Ländern. Den Leuten geht’s gut. Sie haben zu Essen, die Leute werden versorgt, das ist bei uns ja nicht so normal. Zu den türkischen Mitbewohnern und ihre Integration: wir haben ein Problem mit Osteuropa, mit Leuten, die zu uns kamen, auf die kanarischen Inseln und da haben wir versucht, die Leute zu integrieren, wir hatten Lehrkräfte, die die sprachlichen Barrieren aufheben sollten. Das halt um zu ermöglichen, dass die Kinder zumindest die Landessprache beherrschen.  [49:03]	0
But that's the illegal work area anyway, they shouldn't be working at all, they shouldn't be hired. They get almost nothing but they shouldn't be working for that anyway. When someone is hired in Spain, the rules are the same for all Spanish workers. Regardless of their nationality. As soon as they have a work permit, they automatically have an employment contract and then there are also collective bargaining regulations and Spanish regulations in that sense. So they have labor rights like any employed Spaniard. They have a wage, they have working conditions, just like any other worker if they have a legal employment contract. If foreigners have a normal labor contract, they don't get paid less.	de	[21:18] Aber das ist eh der illegale Arbeitsbereich, die sollten gar nicht arbeitstätig sein, sie sollten nicht eingestellt werden. Die kriegen zwar fast gar nichts aber sie sollten eh nicht dazu tätig sein. Wenn jemand in Spanien eingestellt wird, sind die Regeln gleich für alle spanischen Arbeitnehmer. Unabhängig von ihrer Nationalität. Sobald sie eine Arbeitserlaubnis haben, haben sie automatisch auch einen Arbeitsvertrag und dann gibt es auch tarifliche Regelungen und spanische Vorschriften in dem Sinne. Also haben sie Arbeitsrechte wie jeder erwerbstätige Spanier auch. Sie haben einen Lohn, sie haben Arbeitsbedingungen, genau wie alle anderen Arbeitnehmer auch, wenn sie einen gesetzlichen Arbeitsvertrag haben. Wenn Ausländer einen normalen Arbeitsvertrag haben, bekommen sie nicht weniger bezahlt. [22:06]	0
I wonder, you're talking about immigrant children who... the parents have integrated, the children speak the language of origin of the parents. I don't have that notion. Can you put a percentage on it?	fr	[38 :49] moi je me demanderai bien, tu parles d’enfants immigrés qui… les parents se sont intégrés, les enfants parlent la langue d’origine des parents. Moi, je n’ai pas cette notion-là. Ça peut chiffrer en pourcentage ? [39 :10]	0
For [...] is that, for the [...] I don't know. The criteria - it seems to me that we need to define criteria, to define rules in this way, those that are discussed by our parliamentarians, by the government, and that these rules allow the person who will then have to decide whether this person can remain in the European Union or must leave the European Union, to do so only if the rules are sufficiently clear and well written. These rules, I don't know them today but I think our governments are busy.	fr	[34:40] Pour […] c’est que, pour les […] je ne sait pas. Les critères – il me semble qu’il faut définir des critères, définir des règles de cette façon, celles si soit discutés justement par nos parlementaires, par le gouvernement et que ces règles permettent à la personne qui après devra décider si cette personne peux rester en Union Européenne ou doit quitter l’Union Européenne, ça pourra se faire uniquement si les règles sont suffisamment claires et bien écrites. Ces règles-là, moi je les connais pas aujourd’hui mais je pense que nos gouvernements sont occupés. [35:21]	0
"It bothers me a little that the subject of immigration is reduced to religious choice, as if the fact of having such or such a religion implies that one has a certain culture at all times in one's life. I would like to say in this regard that when we look at the second half of the 19th century in France, how in Anger for example, in the West of France, we spoke of Bretons who were also French, and also Christians, we spoke of them in exactly the same terms as we use today for immigrants coming from Black Africa or North Africa for France in any case, exactly in the same terms. So, it bothers me that this is reduced to, how can I put it, a tree that hides a forest. That's it. So what bothers us about the arrival of these people? What is it that bothers us? And here I'm just talking about the word ""immigration"", afterwards, there is also the word ""illegal"". That would perhaps have to be known at another time . But what is it that bothers us?"	fr	[06:48] Moi, ça me gène un peu qu’on réduise le sujet de l’immigration au choix religieux, comme si le fait d’avoir tel ou tel religion ça impliquait qu’on avait une certaine culture dans tous les moments de sa vie. Je voudrais dire à ce propos que quand on regarde dans la deuxième moitié du 19ème siècle en France, comment  à Anger par exemple, à l’Ouest de la France on parlait de Bretons qui étaient aussi des français, et aussi des chrétiens, on en parlait exactement dans les mêmes termes que ce qu’on emploie aujourd’hui pour les immigrés venant d’Afrique noire ou d’Afrique du Nord pour la France en tous cas, exactement dans les mêmes termes. Donc, moi ça me gène qu’on réduise ça à, comment dire, un arbre qui cache une forêt. Voilà. Qu’est-ce qui nous gène donc dans la venue de ces gens là ? Qu’est-ce qui nous gène ? Et là je parle simplement par rapport au mot « immigration », après, il y a aussi le mot « illégal ». ça se faudrait peut-être connaitre bien un autre moment[ ?]. Mais qu’est-ce qui nous gène ? [07 :57]	0
Well, to me it means strict control, that the rules are followed, that there would be a law when you come ashore. You have a contract and you come ashore. Through that you get a work contract of course and automatically if that is not respected anymore, if the conditions are not correct, then that person should not get a work permit. If the person had a work permit in the past and the job is lost, also no longer gets a work permit. That's what I call a strict measure.	de	[22:43] Na für mich heisst das strikte Kontrolle, das die Regeln eingehalten werden, dass es ein Gesetz gäbe wenn man an Land kommt. Man hat einen Vertrag und kommt an Land. Dadurch bekommt man einen Arbeitsvertrag natürlich und automatisch wenn das nicht mehr respektiert wird, wenn die Bedingungen nicht korrekt sind, dann sollte diese Person keine Arbeitserlaubnis bekommen. Wenn die Person eine Arbeitserlaubnis hatte in der Vergangenheit und der Arbeitsplatz verloren geht, auch keine Arbeitsbewilligung mehr erhält. Das nenne ich eine strikte Massnahme. [23:19]	0
We are talking about the issue of immigration and the economic aspects. On the economic side, obviously, these people don't have problems. They agree easily. How much can we gain from this? That's what it comes down to. And there, obviously, it is easy to find agreements. When it comes to the economy, we organize 5, 6, 8 or 10 - so finally, in this meeting, we were all economists, if in (... ... ...) immigration how can we win with this and well I see that we have an agreement on 7 or 8 percent or for 10 or 12 percent. But there you go. We organize? some things and so things would be easier. Here we are talking about immigration and it's just the opposite. How much should we spend? And that's a concern for all countries when it comes to an expense, that you have to take out of your pocket. So here we have to try to represent something, as if we were the voice of Europe. It's a difficult subject. Again, if it was only economic, when it comes to this, each country would take time to solve the problems of immigration. If it was only that, it would be easy. But it is a very difficult subject, which does not really depend on us but on the governments in place and therefore there are no solutions. In any case it would be difficult, we would find	fr	[11 :22] On est en train de parler ici de la question de l’immigration et des aspects économiques. Sur le plan économique, évidemment, ces gens n’ont pas des problèmes. Ils se mettent d’accord facilement. Combien peut-on gagner de cette affaire ? Finalement c’est ça. Et là, évidemment, c’est facile de trouver les accords. Quand il s’agit de l’économie, on organise 5, 6, 8 ou 10 – donc finalement, dans cette réunion, nous étions tous économistes, si en (… … …) immigration comment peut-on gagner avec cela et bien je vois qu’on a un accord sur 7 ou 8 pourcent ou pour 10 ou 12 pourcent. Mais voilà. On organise[ ?] quelques choses et donc, les choses seraient plus faciles. Ici, on parle d’immigration et c’est tout à fait le contraire. Combien faut-il dépenser ? Et c’est une inquiétude pour tous les pays quand il s’agit d’une dépense, qu’il faut sortir de la poche. Donc ici, il faut essayer de représenter quelque chose, comme si nous étions la voix de l’Europe. C’est un sujet difficile. Encore une fois, si c’était uniquement économique, quand voilà, chaque pays mettrait du temps pour régler les problèmes de l’immigration. Si c’était que cela, ça sera facile. Mais c’est un sujet très difficile, qui ne dépend pas véritablement de nous mais des gouvernements en place et donc il n’y a pas des solutions. En tous cas ça serait difficile, on trouvait [13 :10] [00 :00]	0
Yeah okay but so what we want to do is certainly not create a police state. But those who come illegally, we should not frighten them too much but we should note that this illegal is still a human being and therefore we must also take into consideration all the social aspects, it's very important and I have always said that - so for example those who receive aid for example, I have always said: here, what do you want? These are people who receive an allowance from the state but in fact this money is immediately invested and immediately used so that is another thing obviously, for example if we give subsidies for example to an African state or an African emperor, at that point this money will never reach the people who need it so we must also understand that those who want to come, that we must help and that we cannot immediately punish them, so we must have a certain amount of trust too.	fr	[06:30] Oui d’accord mais donc ce qu’on veut faire ce n’est certainement pas créer un état police. Mais donc ceux qui viennent de façon illégale, il ne faut  pas trop les effrayer mais il faut quand-même constater que cet illégal reste un être humain et donc il faut aussi prendre en considération tous les aspects sociaux, c’est très important et donc j’ai toujours dit que – donc par exemple ceux qui reçoivent une aide par exemple, moi j’ai toujours dit : voilà, que voulez-vous ? Ce sont des personnes qui reçoivent une allocation de l’état mais en fait cet argent est tout de suite investi et tout de suite utilisé donc ça c’est une autre chose évidemment, par exemple si on donne des subsides par exemple à un état africain ou un empereur africain, à ce moment-là cet argent-là n’arrivera jamais chez les gens qui ont besoin donc il faut aussi comprendre que ceux qui veulent venir, qu’il faut aider et qu’on ne peut pas tout de suite les punir, donc il faut avoir une certaine confiance aussi. [07:51]	0
Yes, it's true that these problems of migration are very interesting because to know and understand how Hungarians have the conception of immigrants. Later on we will talk about the country I come from, the continent I come from, but just to complete what concerns China: as Pierre said earlier, it's important even in Africa, the Chinese - because it's still interesting and that's why I came to understand the perception of each person towards the foreigner, the immigrant. The Chinese in Africa, the country where I come from, it's Zaire, it's Congo-Belgium, and there was, I don't know, it was almost the richest country in Africa but it's the poorest now. Besides, there are many images that come from the base, it is terrible. And then, as Madam spoke to us earlier, the Chinese there, they have occupied all the economic lands, that is to say, they sell even peanuts on the sidewalks, while there are poor blacks, who do not even have the [clothes] to clothe themselves or even eat during the day does not do that. It's a pretty serious problem and I don't know, it's also because they're working. Because me, I live in France for more than 30 years, I came all young to study and then I stayed but when I go on vacation there and I see that, I ask myself the question, I say: Do I go to the Chinese or do I go to the leader [?], I do not know exactly.	fr	[24:10] Oui c’est vrai que ces problèmes de migration d’ailleurs sont très intéressants parce que pour savoir et comprendre comment les Hongrois ont la conception des l’immigrés. Plus tard on va parler du pays d’où je viens, du continent d’où je viens mais juste pour compléter à ce concerne la Chine: comme Pierre a dit tout à l’heure, c’est important d’ailleurs même en Afrique, les Chinois – parce que c’est quand-même intéressant et tout d’ailleurs c’est pour ça que je suis venu pour comprendre la perception de chaque personne vis-à-vis de l’étranger, de l’immigrant. Les Chinois en Afrique, le pays d’où je suis originelle, c’est le Zaïre, c’est Congo-Belge, et il y a, je ne sais pas, c’était le pays presque le plus riche en Afrique mais c’est le plus pauvre maintenant. D’ailleurs il y a beaucoup des images qui parviennent de la base, c’est terrible. Et alors comme Madame nous à parlé tout à l’heure, les Chinois là-bas, ils ont occupés tous les terrains économiques, c'est-à-dire qu’ils vendent de même des cacahouètes sur les trottoirs, tandis qu’il y a des pauvres noirs, qui n’ont même pas la  [habits] de se vêtir ou même manger dans la journée ne fait pas ça. C’est un problème assez sérieux et je ne sais pas, c’est aussi parce qu’ils sont travailleurs. Parce que moi, j’habite en France depuis plus de 30 ans, je suis venu tous jeune à faire des études et puis je suis resté mais quand je pars en vacances là-bas et que je vois ça, je me pose la question, je dis: Est-ce que j’en vais au Chinois ou j’en vais au dirigeant[ ?], je ne sais pas exactement. [26:54]	0
Maybe it also depends on the fact that the immigrant applies for his visa extension too late, or how can one get citizenship? If that person works well.	de	[44:40] Vielleicht hängt das auch davon ab, dass der Einwanderer seine Verlängerung des Visums zu spät beantragt, oder wie kann man denn die Staatsbürgerschaft bekommen? Wenn diese Person gut arbeitet. [45:01]	0
First about the zero option, zero immigration, of course it's a dream, it's impossible. it doesn't exist and a person who is going to say that he is going to introduce zero immigration, it's impossible. On the other hand, it is possible to establish strict rules that can eventually make these migratory flows follow, and that can be done. As far as France is concerned, what is official - because in France there is no official accounting - so what we know is that every year between 250,000 and 300,000 people enter France - official.	fr	[42:35] D’abord à propos de l’option zéro, immigration zéro, bien-sûr c’est un rêve, c’est impossible. ça n’existe pas et une personne qui va dire qu’il va introduire l’immigration zéro, c’est impossible. Par contre on peut établir des règles assez strictes qui peuvent éventuellement faire suivre ces flux migratoires, ça on peut le faire. En ce qui concerne la France, ce qui est officiel – parce qu’en France il n’y a pas de comptabilité officiel – donc ce qu’on sait chaque année entrent en France entre 250'000 et 300'000 personnes – officielles. [43:22]	1
